100 180 
1 79 
2 84 
3 39 
4 79 
5 62 
6 91 
7 15 
8 39 
9 31 
10 87 
11 14 
12 35 
13 71 
14 12 
15 76 
16 89 
17 35 
18 72 
19 27 
20 10 
21 50 
22 54 
23 59 
24 81 
25 62 
26 31 
27 33 
28 22 
29 48 
30 84 
31 22 
32 26 
33 55 
34 92 
35 40 
36 36 
37 73 
38 61 
39 73 
40 24 
41 46 
42 65 
43 1 
44 8 
45 27 
46 27 
47 88 
48 70 
49 78 
50 51 
51 22 
52 49 
53 73 
54 66 
55 24 
56 16 
57 88 
58 19 
59 87 
60 97 
61 14 
62 90 
63 88 
64 83 
65 25 
66 32 
67 37 
68 80 
69 77 
70 7 
71 3 
72 56 
73 43 
74 70 
75 31 
76 49 
77 41 
78 32 
79 4 
80 92 
81 88 
82 54 
83 71 
84 45 
85 74 
86 53 
87 27 
88 29 
89 5 
90 97 
91 45 
92 37 
93 8 
94 76 
95 83 
96 96 
97 77 
98 10 
99 82 
100 86 
1 2 0
1 11 0
2 3 0
2 12 0
3 4 0
3 13 0
4 5 0
4 14 0
5 6 0
5 15 0
6 7 0
6 16 0
7 8 0
7 17 0
8 9 0
8 18 0
9 10 0
9 19 0
10 20 0
11 12 0
11 21 0
12 13 0
12 22 0
13 14 0
13 23 0
14 15 0
14 24 0
15 16 0
15 25 0
16 17 0
16 26 0
17 18 0
17 27 0
18 19 0
18 28 0
19 20 0
19 29 0
20 30 0
21 22 0
21 31 0
22 23 0
22 32 0
23 24 0
23 33 0
24 25 0
24 34 0
25 26 0
25 35 0
26 27 0
26 36 0
27 28 0
27 37 0
28 29 0
28 38 0
29 30 0
29 39 0
30 40 0
31 32 0
31 41 0
32 33 0
32 42 0
33 34 0
33 43 0
34 35 0
34 44 0
35 36 0
35 45 0
36 37 0
36 46 0
37 38 0
37 47 0
38 39 0
38 48 0
39 40 0
39 49 0
40 50 0
41 42 0
41 51 0
42 43 0
42 52 0
43 44 0
43 53 0
44 45 0
44 54 0
45 46 0
45 55 0
46 47 0
46 56 0
47 48 0
47 57 0
48 49 0
48 58 0
49 50 0
49 59 0
50 60 0
51 52 0
51 61 0
52 53 0
52 62 0
53 54 0
53 63 0
54 55 0
54 64 0
55 56 0
55 65 0
56 57 0
56 66 0
57 58 0
57 67 0
58 59 0
58 68 0
59 60 0
59 69 0
60 70 0
61 62 0
61 71 0
62 63 0
62 72 0
63 64 0
63 73 0
64 65 0
64 74 0
65 66 0
65 75 0
66 67 0
66 76 0
67 68 0
67 77 0
68 69 0
68 78 0
69 70 0
69 79 0
70 80 0
71 72 0
71 81 0
72 73 0
72 82 0
73 74 0
73 83 0
74 75 0
74 84 0
75 76 0
75 85 0
76 77 0
76 86 0
77 78 0
77 87 0
78 79 0
78 88 0
79 80 0
79 89 0
80 90 0
81 82 0
81 91 0
82 83 0
82 92 0
83 84 0
83 93 0
84 85 0
84 94 0
85 86 0
85 95 0
86 87 0
86 96 0
87 88 0
87 97 0
88 89 0
88 98 0
89 90 0
89 99 0
90 100 0
91 92 0
92 93 0
93 94 0
94 95 0
95 96 0
96 97 0
97 98 0
98 99 0
99 100 0
