2500 3125
859	246	27
859	986	20
2495	859	2
2495	1757	21
801	246	84
986	2289	51
801	1534	16
2061	1757	73
196	2289	27
2495	1181	35
801	1902	90
986	2253	76
23	2495	20
2495	2197	15
86	2495	75
1419	246	34
246	717	91
1710	1181	24
2197	1295	100
429	2197	28
195	1419	4
23	98	5
1135	1295	93
2197	1788	13
246	2496	12
1181	2458	36
1194	98	58
1419	183	3
246	1647	63
246	399	57
246	1277	54
98	203	9
2126	2495	23
1974	1295	93
1172	1135	21
2126	288	59
2126	1662	4
1753	2197	1
1172	1628	2
735	1534	73
2061	1676	86
420	735	73
2386	2496	59
1015	1194	49
2295	1647	43
1757	1887	41
86	128	7
128	1874	50
519	429	100
476	420	84
1974	1078	3
924	23	88
1381	195	93
1295	714	46
204	1277	56
1676	1255	5
1158	429	79
1419	2347	72
1974	1344	98
174	2253	100
627	1255	26
1753	809	24
290	2289	46
1940	986	14
1534	2274	57
1974	993	93
1757	550	81
2386	176	89
183	2086	50
476	901	88
2086	1560	70
1770	2347	41
420	138	85
1929	1710	49
2126	1072	77
1929	531	12
627	1922	90
1804	1757	59
138	416	92
1072	1997	52
2386	1977	40
82	204	60
1753	1845	40
66	1560	74
1284	2386	51
196	851	29
2117	1997	51
2274	1128	78
937	714	6
1277	2438	75
1580	1662	16
288	407	62
1072	1497	35
1647	1455	36
459	1135	18
1974	2379	20
246	43	27
1940	2198	81
851	88	67
1922	2204	97
627	1152	37
2253	1331	61
1015	2122	81
100	627	77
138	361	61
1203	196	16
2348	416	95
1929	2399	66
407	2314	85
23	2368	64
1874	60	69
2348	833	51
810	1977	31
416	1607	50
1277	629	65
1128	1843	11
455	1887	56
2062	1770	31
459	147	2
519	1920	98
43	1427	45
901	2266	48
290	2413	90
1974	401	81
1164	1753	69
1603	1662	38
998	1997	41
1351	2458	93
1255	638	11
2335	88	49
203	2268	59
1288	1676	15
459	1155	82
1270	174	16
2289	2299	19
1887	1365	30
478	2268	62
1415	1845	9
1055	1662	79
929	1128	39
79	2413	53
209	82	14
2231	2399	98
62	2386	48
2062	1352	80
2086	52	28
399	911	11
35	455	54
1735	62	5
1662	367	90
1728	2368	47
2170	429	2
1078	131	60
1787	2204	87
2161	1128	66
2289	7	6
1550	82	19
519	2165	53
2438	1477	94
2348	1699	9
2024	1419	59
2371	1415	22
638	440	39
675	98	77
1367	459	63
627	1969	90
209	1543	1
459	708	76
648	1128	36
459	1151	57
1352	1597	94
1928	23	16
2268	186	5
1993	1367	35
1036	531	36
1304	1284	70
654	1922	44
1015	2255	92
86	1771	98
1676	1777	67
1033	361	48
1920	599	58
996	810	86
1980	1365	55
1843	965	47
1379	131	20
1381	1048	40
1220	1295	3
1379	1062	23
427	965	86
1843	1409	66
2266	891	83
1676	1437	28
2352	62	28
965	681	24
1220	613	1
378	2266	76
147	1327	36
