225 420
1	2	17
1	16	54
2	3	35
2	17	58
3	4	39
3	18	100
4	5	9
4	19	1
5	6	13
5	20	32
6	7	76
6	21	18
7	8	81
7	22	30
8	9	56
8	23	82
9	10	22
9	24	50
10	11	73
10	25	3
11	12	58
11	26	79
12	13	42
12	27	71
13	14	20
13	28	37
14	15	31
14	29	27
15	30	61
16	17	54
16	31	83
17	18	72
17	32	17
18	19	72
18	33	47
19	20	80
19	34	99
20	21	33
20	35	93
21	22	59
21	36	78
22	23	96
22	37	5
23	24	24
23	38	63
24	25	3
24	39	93
25	26	39
25	40	26
26	27	15
26	41	4
27	28	55
27	42	95
28	29	58
28	43	98
29	30	90
29	44	80
30	45	45
31	32	25
31	46	59
32	33	67
32	47	20
33	34	86
33	48	45
34	35	89
34	49	81
35	36	68
35	50	4
36	37	84
36	51	46
37	38	51
37	52	1
38	39	94
38	53	82
39	40	11
39	54	5
40	41	21
40	55	55
41	42	75
41	56	89
42	43	64
42	57	66
43	44	92
43	58	75
44	45	80
44	59	1
45	60	24
46	47	50
46	61	73
47	48	35
47	62	83
48	49	19
48	63	59
49	50	29
49	64	89
50	51	69
50	65	64
51	52	38
51	66	4
52	53	50
52	67	39
53	54	15
53	68	34
54	55	21
54	69	35
55	56	71
55	70	80
56	57	56
56	71	63
57	58	53
57	72	53
58	59	21
58	73	62
59	60	1
59	74	81
60	75	6
61	62	55
61	76	9
62	63	34
62	77	76
63	64	79
63	78	46
64	65	77
64	79	90
65	66	71
65	80	2
66	67	78
66	81	33
67	68	22
67	82	20
68	69	100
68	83	80
69	70	68
69	84	55
70	71	70
70	85	76
71	72	57
71	86	53
72	73	12
72	87	21
73	74	45
73	88	7
74	75	13
74	89	94
75	90	64
76	77	97
76	91	29
77	78	9
77	92	94
78	79	77
78	93	7
79	80	60
79	94	21
80	81	75
80	95	94
81	82	20
81	96	59
82	83	75
82	97	6
83	84	72
83	98	22
84	85	19
84	99	6
85	86	84
85	100	96
86	87	27
86	101	16
87	88	75
87	102	73
88	89	91
88	103	4
89	90	98
89	104	19
90	105	32
91	92	68
91	106	82
92	93	44
92	107	100
93	94	29
93	108	56
94	95	38
94	109	7
95	96	85
95	110	55
96	97	32
96	111	47
97	98	18
97	112	34
98	99	76
98	113	10
99	100	33
99	114	73
100	101	57
100	115	83
101	102	34
101	116	23
102	103	77
102	117	24
103	104	9
103	118	10
104	105	49
104	119	68
105	120	14
106	107	43
106	121	76
107	108	57
107	122	59
108	109	28
108	123	15
109	110	47
109	124	7
110	111	89
110	125	37
111	112	69
111	126	83
112	113	86
112	127	89
113	114	44
113	128	64
114	115	68
114	129	83
115	116	85
115	130	5
116	117	99
116	131	23
117	118	34
117	132	6
118	119	27
118	133	25
119	120	82
119	134	10
120	135	69
121	122	25
121	136	61
122	123	80
122	137	59
123	124	13
123	138	84
124	125	6
124	139	22
125	126	24
125	140	96
126	127	78
126	141	66
127	128	51
127	142	90
128	129	99
128	143	43
129	130	9
129	144	53
130	131	73
130	145	6
131	132	85
131	146	22
132	133	97
132	147	16
133	134	68
133	148	78
134	135	3
134	149	87
135	150	88
136	137	92
136	151	100
137	138	16
137	152	82
138	139	85
138	153	44
139	140	87
139	154	36
140	141	76
140	155	41
141	142	24
141	156	25
142	143	41
142	157	62
143	144	80
143	158	84
144	145	91
144	159	7
145	146	38
145	160	12
146	147	42
146	161	98
147	148	32
147	162	14
148	149	67
148	163	43
149	150	8
149	164	55
150	165	28
151	152	72
151	166	93
152	153	35
152	167	81
153	154	77
153	168	70
154	155	93
154	169	13
155	156	77
155	170	94
156	157	6
156	171	32
157	158	60
157	172	2
158	159	75
158	173	49
159	160	33
159	174	41
160	161	42
160	175	10
161	162	79
161	176	65
162	163	54
162	177	14
163	164	28
163	178	17
164	165	29
164	179	52
165	180	68
166	167	43
166	181	34
167	168	26
167	182	95
168	169	85
168	183	18
169	170	5
169	184	5
170	171	78
170	185	84
171	172	74
171	186	96
172	173	45
172	187	34
173	174	43
173	188	52
174	175	30
174	189	71
175	176	34
175	190	87
176	177	94
176	191	14
177	178	8
177	192	94
178	179	50
178	193	60
179	180	25
179	194	93
180	195	39
181	182	43
181	196	63
182	183	40
182	197	49
183	184	93
183	198	1
184	185	36
184	199	27
185	186	15
185	200	72
186	187	95
186	201	64
187	188	18
187	202	89
188	189	30
188	203	70
189	190	74
189	204	75
190	191	37
190	205	88
191	192	69
191	206	35
192	193	59
192	207	51
193	194	98
193	208	84
194	195	5
194	209	93
195	210	25
196	197	99
196	211	91
197	198	75
197	212	89
198	199	25
198	213	11
199	200	10
199	214	1
200	201	58
200	215	96
201	202	77
201	216	45
202	203	37
202	217	46
203	204	90
203	218	10
204	205	86
204	219	97
205	206	81
205	220	4
206	207	37
206	221	76
207	208	10
207	222	38
208	209	28
208	223	25
209	210	20
209	224	60
210	225	27
211	212	45
212	213	28
213	214	53
214	215	43
215	216	22
216	217	34
217	218	64
218	219	23
219	220	80
220	221	54
221	222	67
222	223	72
223	224	79
224	225	82
