25
50
1      18      11
1      17      14
1       8      23
1       9      28
2      11       7
2      15      13
2      12      21
2       4      22
3       6      10
3      11      20
3      25      20
3      15      24
4      12       2
4       7       9
4      23      15
5      13      14
5      20      20
5       6      25
5       9      25
6      25      14
6      22      18
7      23       5
7      12       7
7      16      15
8       9       7
8      18      12
8      20      13
9      20       7
10      15      12
10      11      17
10      12      43
10      25      46
11      15       6
13      20       7
13      18      28
13      22      30
14      24       9
14      16      14
14      23      21
14      19      22
16      23       9
16      24      23
17      18      23
17      22      34
17      21      37
19      24      15
19      21      29
19      22      47
21      24      41
21      25      50
