25
50
1      19      30
1      20      22
1      18       3
1       5      26
2      21      79
2      12      60
2      15      75
2       6      67
3      24      39
3      18       6
3      25      36
3       5      21
4      20      66
4      18      67
4       7      50
4       5      60
5      18      25
6      16      86
6      12      55
6      25      22
7      23      36
7      12      12
7       9      60
8      25      37
8      19      26
8      22      43
8      11      33
9      24      35
9      13      85
9      12      54
10      24      74
10      15      25
10      23      70
10      19      53
11      14      29
11      22      23
11      19      26
13      25       7
13      22      28
13      23      33
14      17      19
14      23      65
14      16      46
15      22      73
15      21      30
16      20      68
16      17      47
17      24      53
17      21      27
20      21      53
