200
400
1     133      30
1      92      41
1      35      17
1      73      54
2      78      23
2     200      54
2     145      83
2     126      73
3     200      30
3      38      70
3     181      77
3     166       3
4      77      50
4     171      62
4      84      48
4     120      49
5     192      90
5     112      68
5     131      74
5      65      44
6     108      24
6     200      60
6     154      60
6      93      95
7     154      43
7      41      60
7      29      59
7      74      52
8     198      38
8     197      65
8      66      47
8      86      41
9     200      29
9      70      25
9      94      19
9     179      46
10     146      87
10      14      48
10     178      48
10     111      88
11     174       5
11      73      11
11      68      87
11      12      72
12      51       3
12     167      56
12      87      62
13      40      65
13      35      16
13     192      68
13     181      75
14      16      45
14     154      37
14      82      27
15      41      69
15      31       9
15     184      10
15      98      71
16      72      66
16     155      41
16     151      98
17     129      26
17      90      91
17     186      41
17     194      41
18      20      55
18      51      43
18     194      68
18      30      75
19      41      88
19      65       8
19     197      21
19     103      41
20     114      50
20      42      47
20     156      43
21     113      47
21     111      90
21     106      10
21     145      91
22      40      32
22      73      33
22      43      62
22     186      35
23      80      83
23      45      11
23      69      25
23      41      82
24      88      45
24     108      19
24     110      41
24      65      74
25      29      49
25      99      20
25     163      62
25     129       4
26      82      88
26      32      46
26     109      48
26     115      56
27     128      78
27      35      29
27      34      64
27      53      79
28     143      28
28      57      21
28      99       5
28     193      39
29     162      26
29     135      63
30      89     100
30      62      98
30     112      42
31      92      26
31     186      65
31     158      20
32     142      47
32      44      64
32     109       3
33      68      44
33      97      24
33     146      70
33     191      67
34      80      73
34      52      37
34     177      46
35      93      52
36     125      18
36      37      14
36     147      53
36      52      36
37      98      50
37     191      32
37     114      23
38     138      13
38      55      49
38     182      41
39      62      91
39     145      78
39      40      53
39      67      54
40     185      96
42     163      62
42     112      49
42     173      79
43     158      57
43      60      80
43     169      92
44     139      17
44     108      67
44     193      57
45     161      14
45     151      27
45     176      14
46      63      53
46      57      73
46     114      28
46      89      21
47     116      45
47     185      69
47     140      33
47     181      48
48     119      68
48     149      67
48     112      52
48     175      19
49     159      48
49     139      10
49     161      31
49      83      72
50     186      25
50     142       3
50      83      30
50     191      34
51     199      43
51     116      25
52     164      43
52     199      17
53     191      66
53     182      19
53      69      64
54     119      42
54      67      36
54      56      47
54     125      35
55     158      38
55     114      17
55     126      14
56      66      46
56      75      41
56      68      12
57      86      76
57      84      47
58      89      80
58     146      75
58     148      82
58     180      89
59     166      82
59      96      75
59     187      39
59      83      90
60     132      64
60     184       9
60     185      53
61     143      32
61      76      38
61     125      17
61      70      59
62      96      13
62      86      41
63     131      48
63      85      29
63      86      44
64      84       2
64     183      31
64     185      58
64     164      46
65     163      64
66     128      23
66     196      78
67     195      59
67     116      83
68     182      26
69     190      20
69     164      60
70      75      71
70     132      75
71      90      47
71     181      49
71      81      50
71     167      57
72     171      11
72     123       2
72     145      35
73     108      72
74     188      42
74     130      34
74      95      37
75     163      31
75     197      79
76     110      35
76      97      36
76      96      41
77     188      10
77     197      39
77      97      27
78     126      55
78      91      48
78      83      56
79      90      63
79     146      30
79     137       8
79     154      37
80     164      69
80      81      13
81     150      28
81     169      85
82     173      33
82      88      95
84     151      38
85     136      51
85     149      39
85     105      33
87     132      81
87     161      18
87     156      42
88     174      89
88     119      78
89     122      34
90     117      60
91     168      87
91     116      85
91     194      92
92     177      47
92     124      44
93     155      73
93     120      57
94     107      30
94     134      71
94     173      60
95     173      27
95     119      73
95     111      62
96     110      77
97     140      35
98     179       8
98     147      56
99     102      65
99     133       7
100     180      41
100     151      70
100     134      84
100     155      45
101     178      43
101     130      43
101     196      70
101     168      38
102     106      33
102     123      71
102     167      41
103     165      29
103     159      36
103     188      54
104     167      26
104     124      73
104     122      19
104     174      55
105     132      65
105     123      72
105     117      39
106     141      88
106     170      72
107     160      39
107     118      60
107     143      15
109     127      41
109     176      71
110     120      43
111     158      67
113     162      23
113     161      47
113     148      34
115     156       6
115     196      52
115     171      48
117     178      18
117     138      17
118     180      82
118     172      69
118     178      47
120     182      39
121     140      70
121     177      31
121     148      83
121     195      46
122     160      43
122     125      38
123     189      68
124     189      59
124     166      84
126     170      81
127     171       4
127     177      41
127     190      36
128     139      77
128     165      26
129     160      23
129     190      24
130     134      47
130     166      78
131     157      46
131     148      29
133     195      39
133     138      44
134     195      62
135     180      77
135     175      27
135     137      76
136     156      62
136     157      50
136     179      11
137     199      33
137     192      72
138     160      14
139     172      86
140     176      63
141     143      23
141     184      81
141     147      49
142     157      51
142     189      47
144     155       8
144     187      55
144     179      13
144     196      77
147     194      46
149     152      69
149     157      24
150     174      46
150     193      34
150     170      56
152     184      93
152     159      48
152     176      81
153     170      67
153     168      56
153     165      40
153     187      23
159     165      12
162     189      42
162     192      51
168     190      52
169     199      33
169     198      53
172     193      55
172     187      80
175     183      43
175     198      38
183     198      57
183     188      56
